MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
20,3,91.0,630,1,0,0,3,0,4,0,5,2,2,0,2,7,5,107,57,1,1,12,13,4,203,2,4,2,3,4,1,6,0,6,0,724,557,1,0,1,5,545,0,0,393,0,0,2,0,3,1,2,5,6,1,3,2,92,2,3,382,5,5,2,91,22,0,0,0,0,0,0,0,0,7,1,6,5
20,3,0.0,661,1,0,0,3,0,0,0,12,2,2,0,2,6,5,61,10,3,1,8,8,2,139,3,4,1,4,4,4,2,733,6,0,334,435,1,4,1,5,422,0,0,255,1,0,1,1,2,1,3,3,6,1,2,2,46,2,1,76,5,5,2,0,162,69,0,0,0,0,2,0,0,4,2,8,4
45,4,51.0,138,1,0,3,3,0,0,0,3,2,2,0,1,7,8,33,51,1,1,13,14,3,0,3,4,0,4,4,4,6,0,6,0,516,164,1,0,1,1,132,0,0,46,0,0,1,0,2,1,3,3,6,0,0,6,77,3,2,240,5,5,2,15,94,0,0,0,0,0,1,0,0,6,1,8,4
20,3,0.0,699,1,0,0,3,0,1,0,12,2,2,0,2,6,7,71,20,1,1,13,14,2,119,3,4,1,4,4,4,1,578,6,0,271,279,1,0,1,5,243,0,0,111,1,0,1,0,2,1,3,3,6,1,5,2,56,1,2,166,5,5,2,0,0,0,0,0,0,0,0,3,10,2,4,8,4
90,3,72.0,649,1,0,3,3,0,4,0,19,2,2,2,2,4,5,68,17,1,1,8,8,3,0,3,4,3,0,0,0,0,0,0,0,0,0,1,4,1,5,447,0,0,277,0,0,2,0,2,2,3,4,6,0,0,5,53,3,2,196,5,5,2,0,0,0,0,0,0,0,0,3,6,9,0,8,4
20,3,66.0,897,1,0,3,3,0,4,0,20,5,2,0,2,5,5,105,54,1,1,12,13,3,0,3,4,2,4,4,4,3,646,6,0,303,351,1,0,1,5,322,0,0,169,1,0,1,1,3,1,2,4,6,0,0,6,90,3,2,240,5,5,2,0,86,0,0,0,0,0,0,0,0,5,2,8,4
20,3,70.0,231,1,0,3,3,0,4,0,12,2,2,0,2,5,6,59,15,3,1,3,10,3,0,3,4,1,4,4,4,4,504,6,0,337,295,1,4,1,5,472,0,0,300,0,0,1,0,3,1,3,4,2,0,0,2,44,3,1,46,5,5,2,0,0,0,0,0,0,0,3,0,0,4,3,0,0
60,3,101.0,922,1,0,0,3,0,0,0,16,2,2,0,5,8,5,106,56,1,1,12,13,2,234,2,4,2,1,4,1,6,0,6,0,646,380,1,0,1,5,357,372,0,776,0,0,3,1,4,1,2,7,6,1,3,4,91,2,3,390,5,5,2,154,128,0,0,0,0,0,0,0,0,10,0,6,5
45,4,57.0,225,1,1,3,0,0,4,0,9,2,2,0,1,7,7,34,0,1,1,13,14,3,0,3,4,2,4,4,4,6,0,6,0,400,55,1,0,1,2,318,0,0,163,0,0,1,0,3,1,2,4,6,1,3,2,18,3,1,36,5,5,0,0,0,83,0,0,0,0,1,0,0,5,1,8,4
20,3,75.0,508,1,0,3,3,0,4,0,5,2,2,0,2,8,5,103,52,3,1,12,13,2,183,2,4,2,3,4,4,6,0,6,0,764,658,1,0,1,5,678,0,0,575,0,0,2,0,3,1,2,5,6,1,3,2,88,2,2,211,5,5,2,100,132,0,0,0,0,0,0,0,0,8,2,8,4
120,4,44.0,70,1,0,3,3,0,4,0,10,2,2,4,2,5,7,77,26,1,1,5,5,3,0,3,4,2,3,4,4,3,840,6,0,112,300,1,4,1,5,281,0,0,136,1,0,1,0,3,1,3,4,6,1,5,2,62,3,2,236,5,5,2,46,92,0,0,0,0,0,0,0,0,5,1,8,4
20,3,0.0,306,1,0,0,3,0,4,0,19,2,2,0,2,5,8,69,51,1,1,9,10,3,0,3,2,1,4,4,3,5,188,1,116,115,314,1,0,1,5,281,0,0,136,1,0,1,0,3,1,2,4,6,1,5,2,54,3,1,31,5,5,2,239,75,0,0,0,0,0,3,0,0,4,4,8,4
20,3,110.0,924,1,0,3,3,0,0,0,16,2,2,0,2,8,5,108,57,1,1,12,13,4,296,2,4,2,3,4,4,6,0,6,0,735,585,1,0,1,5,600,0,0,459,0,0,2,0,3,1,2,5,6,1,3,2,93,2,3,409,5,5,2,0,44,0,0,0,0,0,0,0,0,6,3,8,4
20,3,60.0,202,1,0,3,3,0,0,0,12,2,2,0,2,5,7,52,50,1,1,13,14,3,0,3,4,1,4,4,3,2,234,5,90,98,203,1,4,1,5,163,0,0,63,0,1,1,0,3,1,2,3,6,0,0,6,91,3,2,240,5,5,2,141,21,0,0,0,0,0,0,0,0,4,4,8,4
20,3,98.0,731,1,0,3,3,0,4,0,16,2,2,0,2,8,5,108,58,1,1,12,13,4,129,2,4,2,1,4,4,3,1218,6,0,315,639,1,0,1,5,651,0,0,527,1,0,2,0,3,1,2,5,6,1,3,2,94,2,3,350,5,5,2,0,38,0,0,0,0,0,0,0,0,4,4,8,4
20,3,47.0,981,1,0,0,3,0,1,0,12,2,2,0,2,5,6,58,47,1,1,8,8,3,0,3,4,1,4,4,2,2,1277,6,0,116,551,1,4,1,5,600,0,0,459,1,0,1,0,2,1,3,4,6,2,3,2,43,2,1,61,5,5,2,180,179,0,0,0,0,0,0,0,0,11,0,8,4
30,4,60.0,150,1,0,0,3,0,4,0,3,1,7,0,2,4,6,31,0,1,1,8,8,3,0,3,4,0,4,4,4,6,0,6,0,334,21,1,1,0,5,6,0,0,3,0,0,1,0,1,1,1,2,6,0,0,6,8,3,1,19,2,5,2,16,0,27,0,0,0,0,0,0,0,4,2,8,4
70,0,50.0,337,1,2,3,3,0,4,0,9,1,2,0,5,4,4,24,0,2,1,3,3,3,0,3,1,0,4,4,4,6,0,6,0,406,59,1,4,0,5,26,128,0,289,0,0,1,0,3,1,3,4,6,0,0,6,8,3,1,23,5,2,0,0,42,67,0,0,0,0,3,0,0,6,2,8,4
20,3,0.0,345,1,0,0,3,0,1,0,19,2,2,0,2,5,6,67,56,1,1,6,6,3,0,3,4,1,4,4,4,6,0,6,0,662,420,1,2,1,5,405,0,0,238,0,0,1,1,3,1,2,4,6,0,0,2,52,3,1,32,5,5,2,0,53,0,0,0,0,0,3,0,0,5,2,8,4
20,3,85.0,674,1,0,3,3,0,0,0,5,2,2,0,2,8,5,108,57,1,1,12,13,3,0,2,4,2,1,4,1,6,0,6,0,664,422,1,0,1,5,408,0,0,242,0,0,2,0,3,1,2,5,6,0,0,2,93,2,2,170,5,5,2,0,20,0,0,0,0,0,0,0,0,0,2,8,4
20,3,70.0,614,1,0,0,3,0,4,0,12,2,2,0,2,5,5,60,9,3,1,3,3,3,0,3,4,1,4,4,4,5,1018,6,0,237,512,1,2,1,5,648,0,0,524,0,1,1,1,4,1,2,4,6,1,3,2,45,2,2,138,5,5,2,0,26,0,0,0,0,0,0,0,0,3,4,8,4
120,3,60.0,211,1,0,3,3,0,4,0,16,2,2,4,2,9,5,106,55,3,1,8,8,2,161,0,4,2,1,4,4,3,1153,6,0,256,582,1,0,1,5,582,0,0,437,1,0,2,0,2,1,0,4,6,1,3,2,91,1,2,226,5,5,2,128,35,0,0,0,0,0,0,0,0,7,1,8,4
60,3,108.0,876,1,0,3,3,0,4,0,16,2,2,0,5,8,5,105,55,1,1,12,13,4,81,2,4,2,1,4,1,6,0,6,0,633,353,1,0,1,5,336,389,0,788,0,0,3,1,4,1,2,7,6,1,3,4,90,1,3,313,5,5,2,54,21,0,0,0,0,0,0,0,0,8,0,8,4
20,3,112.0,656,1,0,3,3,0,0,0,5,2,2,0,2,5,5,95,45,1,1,12,13,3,0,3,4,2,3,4,4,6,0,6,0,627,338,1,0,1,5,310,0,0,157,0,0,1,1,3,1,3,4,6,0,0,2,81,3,2,300,5,5,2,233,52,0,0,0,0,0,0,0,0,5,3,8,4
20,3,74.0,343,1,0,3,3,0,4,0,12,2,2,0,2,5,6,55,40,3,1,13,14,2,297,3,4,1,4,4,4,5,1213,6,0,29,461,1,2,1,5,448,0,0,278,0,1,1,0,3,1,3,3,6,1,5,2,40,1,2,180,5,5,2,0,0,0,0,0,0,0,0,0,0,9,3,8,4
20,3,68.0,269,1,0,3,3,0,4,0,12,2,2,0,2,5,7,54,57,1,1,12,13,3,0,3,2,1,4,4,4,3,731,6,0,202,311,1,4,1,5,279,0,0,135,1,0,1,0,3,1,2,3,6,0,0,6,39,3,1,21,5,5,2,0,40,0,0,0,0,0,0,0,0,0,4,8,0
90,3,65.0,136,1,0,3,3,0,4,0,7,2,2,2,2,4,5,56,5,1,1,0,10,3,0,3,4,2,0,0,0,0,0,0,0,0,0,1,4,0,3,352,0,0,197,0,0,2,0,2,2,1,4,6,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,8,1
20,3,84.0,354,1,0,3,3,0,4,0,12,2,2,0,2,6,5,66,15,1,1,13,14,2,58,3,4,1,4,4,4,5,643,6,0,285,332,1,0,1,5,463,0,0,293,0,0,2,0,3,1,3,4,6,1,5,2,51,2,2,133,5,5,2,0,118,0,0,0,0,0,2,0,0,11,0,8,0
20,3,115.0,994,1,0,3,3,0,4,0,23,2,2,0,2,5,6,60,9,1,1,12,13,3,0,3,2,1,4,4,2,2,967,6,0,239,486,1,2,1,5,466,0,0,295,0,1,1,1,2,1,3,3,6,2,3,2,45,2,1,56,5,5,1,0,88,0,0,0,0,0,0,0,0,6,1,8,4
85,3,0.0,435,1,0,0,3,0,1,0,20,2,2,0,6,5,7,84,33,1,1,6,6,3,0,3,4,1,3,4,1,1,747,4,10,0,168,1,2,1,5,151,0,0,57,1,0,1,0,2,1,2,3,6,0,0,2,69,2,2,185,5,3,2,154,0,0,0,0,0,0,3,0,0,11,1,8,4
20,3,0.0,438,1,0,0,3,0,1,0,5,2,2,0,2,5,6,76,30,3,1,12,13,3,0,3,4,1,3,4,1,4,280,2,91,85,226,1,4,1,5,191,0,0,81,1,0,1,0,3,1,3,3,6,0,0,6,63,3,1,56,5,5,2,79,0,0,0,0,0,0,3,0,0,6,2,8,4
20,3,70.0,274,1,0,3,3,0,4,0,12,2,2,0,2,5,6,60,9,1,1,3,14,3,0,3,4,1,4,4,4,1,179,2,96,300,373,1,0,1,1,351,0,0,196,1,0,1,0,3,1,3,4,6,0,0,2,45,2,1,50,5,5,2,0,0,0,0,0,0,0,0,0,0,4,0,8,4
120,3,61.0,240,1,0,3,3,0,4,0,16,2,2,4,2,9,5,106,55,3,1,8,8,2,243,0,4,2,1,4,4,3,456,6,0,680,653,1,0,1,5,669,0,0,556,1,0,2,0,2,1,0,4,6,1,3,2,91,2,2,240,5,5,2,121,68,0,0,0,0,0,0,0,0,1,4,8,4
50,3,48.0,846,1,0,0,3,0,1,0,11,2,2,0,0,7,5,104,53,1,1,12,13,3,0,2,4,2,1,4,4,3,1351,6,0,28,528,1,0,1,5,558,112,0,721,1,0,1,1,1,1,2,4,6,1,1,2,89,2,2,298,5,5,2,97,31,0,0,45,0,0,0,0,0,7,3,8,0
20,1,84.0,679,1,0,3,3,0,4,0,21,2,2,0,2,8,5,107,56,1,1,12,13,3,0,2,4,2,3,4,1,3,24,6,0,747,624,1,0,1,5,626,0,0,493,0,0,2,0,3,1,2,5,6,0,0,2,92,2,3,374,5,5,2,0,123,0,0,0,0,0,0,0,0,6,1,8,4
190,4,33.0,83,1,0,3,3,0,4,0,17,2,2,1,5,4,5,24,58,1,1,8,8,3,0,3,4,0,4,4,4,6,0,6,0,459,107,1,2,1,5,59,158,0,366,0,0,2,0,2,3,3,6,6,0,0,0,155,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,5,3,6,5
20,3,66.0,248,1,0,3,3,0,4,0,19,2,2,0,2,5,7,67,16,1,1,6,6,3,0,3,4,1,4,4,4,2,763,6,0,106,240,1,0,1,5,203,0,0,89,1,0,1,0,3,1,3,4,6,0,0,2,52,3,1,92,5,5,2,0,0,0,0,0,0,0,3,0,0,0,1,8,4
60,3,0.0,907,1,0,1,3,0,0,0,8,2,2,0,5,6,6,98,47,1,1,12,13,3,0,3,4,2,3,4,1,3,182,6,0,388,138,1,2,1,5,93,131,0,375,0,1,2,0,3,1,3,4,6,0,0,2,83,1,2,93,5,5,2,0,62,0,0,0,0,0,0,0,0,6,1,8,4
50,4,52.0,145,1,0,3,3,0,4,0,3,2,2,0,0,6,6,37,0,1,1,13,14,3,0,3,4,2,4,4,4,6,0,6,0,512,155,1,4,1,5,110,0,9,208,0,0,1,0,3,1,3,4,6,1,3,6,71,3,2,205,5,5,2,53,0,0,0,0,0,0,3,3,3,8,0,8,4
90,4,110.0,332,0,0,1,0,0,0,1,9,8,2,2,2,5,5,64,13,1,1,13,14,3,0,1,4,1,3,4,2,4,104,3,121,0,155,1,4,0,5,110,0,0,35,1,0,1,0,2,1,3,3,6,0,0,5,49,3,2,196,5,5,2,50,0,0,0,0,0,0,0,0,0,4,4,8,4
20,3,68.0,1062,1,0,0,2,0,4,0,24,2,2,0,2,9,5,82,37,1,7,14,15,3,0,2,4,1,1,4,2,3,1810,6,0,7,668,1,2,1,5,690,0,0,595,2,0,0,1,0,1,2,3,6,1,3,2,67,1,3,410,5,5,2,273,59,0,0,0,0,0,0,0,0,10,0,8,4
80,3,60.0,195,1,0,3,0,0,4,1,12,2,2,0,7,5,5,56,5,1,1,8,8,3,0,3,4,1,4,4,4,1,384,6,0,0,9,1,4,1,5,481,0,0,314,0,0,1,0,3,1,3,4,2,1,5,6,48,3,2,236,5,5,2,0,38,0,0,0,0,0,3,0,0,1,1,8,4
20,3,100.0,564,1,0,0,3,0,4,0,12,2,2,0,2,6,5,65,14,1,1,6,10,2,178,3,4,1,4,4,4,2,490,6,0,563,524,1,2,1,5,510,0,0,351,0,0,2,0,3,1,3,5,6,1,3,2,50,2,2,240,5,5,2,0,0,0,18,0,0,0,0,0,0,6,2,8,4
160,1,24.0,31,1,2,3,3,0,4,0,21,2,2,3,5,8,5,100,50,1,1,8,8,2,261,2,4,2,3,4,4,3,649,6,0,198,252,1,0,1,5,226,180,0,549,1,0,2,1,3,1,2,5,6,0,0,2,85,1,2,166,5,5,2,56,0,0,0,0,0,0,0,0,0,7,3,8,0
60,3,89.0,743,1,0,0,3,0,0,0,5,2,2,0,5,7,5,105,54,1,1,12,13,3,0,2,4,2,3,4,4,6,0,6,0,527,182,1,0,1,5,137,236,0,539,0,0,2,1,3,1,2,5,6,0,0,2,90,2,2,231,5,5,2,0,58,0,0,0,0,0,0,0,0,7,0,8,4
60,3,66.0,894,1,0,1,1,0,1,0,22,2,2,0,5,10,5,107,56,3,1,12,13,2,320,0,4,2,1,4,2,6,0,6,0,707,516,1,0,1,5,511,407,0,841,0,0,3,1,3,1,2,8,6,1,3,4,92,1,3,283,5,5,2,118,0,8,0,0,0,0,0,0,0,9,0,6,5
20,3,60.0,202,1,0,3,0,0,4,0,5,2,2,0,2,5,7,73,22,1,1,6,6,3,0,3,4,1,4,4,1,1,632,6,0,71,130,1,0,1,5,84,0,0,24,0,0,1,0,2,1,3,2,6,0,0,6,59,3,1,76,5,5,2,121,0,0,0,0,0,0,3,0,0,0,2,8,4
20,3,63.0,860,1,0,3,3,0,4,0,20,5,2,0,2,6,5,105,54,1,1,12,13,3,0,3,4,2,3,4,4,1,941,6,0,121,380,1,0,1,5,357,0,0,200,1,0,1,1,3,1,2,3,6,0,0,6,92,3,2,240,5,5,2,0,38,0,0,0,0,0,0,0,0,4,0,6,5
75,4,60.0,202,1,0,3,3,0,4,0,9,2,2,0,4,5,7,24,46,1,1,8,8,3,0,3,4,0,4,1,4,6,0,6,0,340,24,1,4,0,5,16,64,0,166,0,0,1,0,3,1,1,4,6,0,0,6,23,3,1,43,5,5,0,0,0,54,0,0,0,0,0,0,0,2,1,8,4
120,3,44.0,157,1,0,0,3,0,4,0,16,2,2,4,2,8,5,107,56,1,1,12,13,4,118,2,4,2,3,2,3,3,24,6,0,689,496,1,0,1,5,487,0,0,322,0,0,2,0,2,1,2,4,6,1,3,2,92,2,2,170,5,5,2,59,37,0,0,0,0,0,0,0,0,9,1,8,4
70,4,50.0,583,1,0,0,0,0,4,0,17,6,1,0,5,7,6,25,0,1,1,11,12,3,0,3,4,0,4,4,4,6,0,6,0,369,38,1,2,1,5,165,209,0,531,0,0,2,0,3,1,3,7,6,0,0,6,76,3,2,166,5,5,2,1,4,19,0,0,0,0,1,0,0,3,4,8,4
60,3,0.0,464,1,0,3,3,0,4,0,5,2,2,0,5,7,5,98,48,1,1,12,13,2,284,3,4,2,3,4,4,3,739,6,0,195,311,1,0,1,5,279,293,0,683,1,0,2,1,3,1,2,6,6,0,0,2,84,2,2,286,5,5,2,266,25,0,0,0,0,0,1,0,0,1,3,8,4
60,3,76.0,497,1,0,3,3,0,4,0,16,2,2,0,5,8,5,105,55,1,1,12,13,2,219,2,4,2,1,4,1,6,0,6,0,643,368,1,0,1,5,345,391,0,792,0,0,2,1,4,1,2,7,6,1,3,4,90,2,3,389,5,5,2,118,126,0,0,0,0,0,0,0,0,9,1,8,4
20,3,0.0,1020,1,0,3,3,0,4,0,12,3,2,0,2,7,5,71,39,1,1,9,10,2,187,3,4,1,3,4,2,3,912,6,0,604,685,1,4,1,5,736,0,0,737,1,0,2,0,3,1,3,5,2,1,3,2,56,2,2,240,5,5,2,189,0,0,0,0,0,0,0,0,0,6,4,8,4
20,3,72.0,634,1,0,0,3,0,4,0,5,2,2,0,2,7,5,104,53,1,1,12,13,2,109,2,4,2,3,4,1,3,1013,6,0,281,535,1,0,1,5,538,0,0,384,1,0,2,0,3,1,2,5,6,0,0,2,89,2,2,227,5,5,2,78,19,0,0,0,0,0,0,0,0,5,1,8,4
30,4,47.0,87,1,0,3,3,0,0,0,17,0,2,0,2,4,6,46,0,1,1,8,8,3,0,3,2,1,4,4,4,6,0,6,0,466,114,1,4,1,5,63,0,0,15,0,0,1,0,2,1,3,2,6,0,0,2,31,3,1,14,5,5,2,0,0,0,0,0,0,0,0,0,0,5,4,8,4
50,3,81.0,963,1,0,3,3,0,0,0,4,2,2,0,0,7,4,54,3,1,1,3,0,3,0,2,4,1,4,4,4,2,603,6,0,434,466,2,4,1,5,453,298,0,757,0,0,2,0,3,1,3,5,6,1,5,2,39,1,2,296,5,5,2,0,11,39,0,0,0,0,0,0,0,6,0,8,4
20,3,95.0,891,1,0,0,3,0,4,0,12,2,2,0,2,7,6,74,23,1,1,9,10,2,322,3,2,1,3,4,2,1,1880,6,0,212,709,1,0,1,5,738,0,0,740,1,0,2,0,3,1,3,6,6,2,3,2,59,1,2,196,5,5,2,188,0,0,0,0,0,0,0,0,0,1,1,8,4
20,3,69.0,237,1,0,3,3,0,0,0,11,2,2,0,2,4,6,83,56,1,1,6,10,3,0,3,4,1,4,4,4,1,565,6,0,165,171,1,4,1,5,126,0,0,44,1,0,1,0,2,1,3,2,6,0,0,6,73,3,2,79,5,5,2,0,0,0,0,0,0,0,0,0,0,5,1,8,4
60,3,74.0,558,1,0,0,3,0,0,0,8,2,2,0,5,7,5,99,48,1,1,12,13,2,16,3,4,2,3,4,4,6,0,6,0,516,164,1,2,1,5,152,221,0,537,0,0,2,1,3,1,3,5,6,1,5,2,84,1,2,121,5,5,2,0,79,0,0,67,0,0,0,0,0,11,3,8,4
20,3,85.0,569,1,0,3,3,0,4,0,12,2,2,0,2,5,7,55,53,1,1,13,14,2,60,3,4,1,4,4,4,1,320,2,70,253,331,1,2,1,5,301,0,0,150,1,0,1,0,3,1,3,4,6,0,0,2,75,3,2,173,5,5,2,0,0,0,0,0,0,0,2,0,0,4,4,8,4
50,4,60.0,127,1,0,3,3,0,0,0,17,2,2,0,5,3,6,19,0,2,1,12,13,3,0,2,2,1,2,4,4,6,0,6,0,519,168,1,2,0,5,123,184,0,464,0,0,2,0,3,2,3,6,6,0,0,6,5,3,1,89,5,5,2,0,0,82,0,0,0,0,0,0,0,4,4,8,4
180,4,21.0,5,1,0,3,3,0,4,0,10,2,2,3,7,4,5,74,23,1,1,5,5,3,0,3,4,1,3,4,2,3,462,6,0,0,14,1,4,1,5,8,42,0,105,1,0,1,0,2,1,3,3,6,0,0,4,59,3,1,48,5,5,2,59,85,0,0,0,0,0,2,0,0,10,3,8,4
20,3,0.0,333,1,0,0,3,0,4,0,12,2,2,0,2,4,7,57,6,1,1,12,13,3,0,3,4,1,4,4,4,1,228,6,0,449,237,1,0,1,1,200,0,0,87,0,0,1,0,2,1,3,2,6,0,0,6,42,3,1,39,5,5,2,0,0,0,0,0,0,0,0,0,0,3,2,8,4
50,4,50.0,352,1,0,3,3,0,4,0,3,2,2,0,0,5,5,49,51,1,1,13,14,3,0,3,4,1,4,4,4,2,336,3,5,177,70,1,4,1,5,291,5,0,272,1,0,1,0,2,1,3,4,2,0,0,6,34,3,1,19,5,5,2,0,0,0,0,0,0,0,3,0,0,0,2,8,4
90,3,72.0,646,1,0,3,3,0,4,0,19,2,2,2,2,4,5,69,18,3,1,6,6,3,0,3,4,1,4,4,4,6,0,6,0,762,657,1,4,0,5,671,0,0,563,0,0,2,0,4,2,3,6,6,0,0,0,116,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,4,8,4
50,4,60.0,603,1,1,3,3,0,0,0,17,2,2,0,5,5,6,14,31,1,1,13,14,3,0,3,4,2,4,4,4,6,0,6,0,281,12,1,2,1,5,37,72,0,240,0,0,1,1,2,1,3,3,6,0,0,6,52,3,2,133,5,5,2,30,0,45,0,0,0,0,3,0,0,4,3,8,4
